Rank,Name,Symbol,ID
1,Bitcoin,BTC,1
12,Litecoin,LTC,2
781,Namecoin,NMC,3
1878,Terracoin,TRC,4
379,Peercoin,PPC,5
1002,Feathercoin,FTC,8
1651,Freicoin,FRC,10
1028,Ixcoin,IXC,13
3617,WorldCoin,WDC,16
1743,Digitalcoin,DGC,18
3588,Goldcoin,GLC,25
1529,Phoenixcoin,PXC,35
1930,Megacoin,MEC,37
715,Infinitecoin,IFC,41
1270,Primecoin,XPM,42
2199,Anoncoin,ANC,43
257,CasinoCoin,CSC,45
1946,Emerald Crypto,EMD,50
7,XRP,XRP,52
1237,Quark,QRK,53
1942,Zetacoin,ZET,56
2185,TagCoin,TAG,61
1068,FLO,FLO,64
476,Nxt,NXT,66
3903,Unobtanium,UNO,67
2434,Datacoin,DTC,69
2036,Deutsche eMark,DEM,72
5,Dogecoin,DOGE,74
1052,Diamond,DMD,77
4533,HoboNickels,HBN,78
1803,Orbitcoin,ORB,80
1327,Omni,OMNI,83
1083,FedoraCoin,TIPS,87
1520,Dimecoin,DIME,90
1343,42-coin,42,93
471,Vertcoin,VTC,99
80,DigiByte,DGB,109
2133,SmartCoin,SMC,113
278,ReddCoin,RDD,118
1240,PotCoin,POT,122
2264,Blakecoin,BLC,125
1659,Maxcoin,MAX,128
49,Dash,DASH,131
3400,Counterparty,XCP,132
4396,MintCoin,MINT,141
2000,DopeCoin,DOPE,145
3937,Auroracoin,AUR,148
1988,Pesetacoin,PTC,151
2904,Marscoin,MARS,154
4209,Uniform Fiscal Object,UFO,168
1149,BlackCoin,BLK,170
1948,Photon,PHO,175
1030,Myriad,XMY,182
2431,DNotes,NOTE,184
483,Einsteinium,EMC2,201
4466,ECC,ECC,212
296,MonaCoin,MONA,213
4541,Rubycoin,RBY,215
2049,Bela,BELA,217
1468,FairCoin,FAIR,224
2059,SolarCoin,SLR,233
1499,e-Gulden,EFL,234
927,Gulden,NLG,254
430,Groestlcoin,GRS,258
1786,PetroDollar,XPD,260
2478,PLNcoin,PLNC,263
215,WhiteCoin,XWC,268
1962,PopularCoin,POP,275
2007,Bitstar,BITS,276
2442,Quebecoin,QBC,278
1819,BlueCoin,BLU,290
176,MaidSafeCoin,MAID,291
1331,Bitcoin Plus,XBC,293
3817,NewYorkCoin,NYC,298
1213,Pinkcoin,PINK,313
2383,Dreamcoin,DRM,316
2207,Energycoin,ENRG,322
1463,VeriCoin,VRC,323
28,Monero,XMR,328
2267,Litecoin Plus,LCP,331
1374,Curecoin,CURE,333
2189,SuperCoin,SUPER,341
2070,Motocoin,MOTO,360
1201,CloakCoin,CLOAK,362
2174,BitSend,BSD,366
2194,Coin2.1,C2,367
331,Bytecoin,BCN,372
663,Navcoin,NAV,377
1933,Startcoin,START,389
730,DigitalNote,XDN,405
2155,Boolberry,BBR,406
1380,HempCoin,THC,416
1185,Stealth,XST,448
4542,Clams,CLAM,460
157,BitShares,BTS,463
705,Viacoin,VIA,470
1383,I/O Coin,IOC,495
2032,Cryptonite,XCN,501
1274,Carboncoin,CARBON,502
1617,CannabisCoin,CANN,506
14,Stellar,XLM,512
198,Syscoin,SYS,541
2219,Donu,DONU,551
992,Emercoin,EMC,558
4537,RabbitCoin,RBBT,572
542,Burst,BURST,573
710,GameCredits,GAME,576
1373,NativeCoin,N8V,584
849,Ubiq,UBQ,588
2172,Opal,OPAL,597
2421,Acoin,ACOIN,601
1306,bitCNY,BITCNY,624
1430,NuBits,USNBT,626
1437,ExclusiveCoin,EXCL,633
1348,Trollcoin,TROLL,638
1815,GlobalBoost-Y,BSTY,644
2428,Prime-XI,PXI,656
1557,Bitswift,BITS,659
107,Verge,XVG,693
1590,NuShares,NSR,699
2394,SpreadCoin,SPR,702
2156,Rimbit,RBT,703
1381,MonetaryUnit,MUE,706
772,Blocknet,BLOCK,707
1895,Limitless VIP,VIP,719
1358,Crown,CRW,720
2175,GCN Coin,GCN,730
4543,Quotient,XQN,733
1318,OKCash,OK,760
2246,PayCoin,XPY,764
1034,Circuits of Value,COVAL,788
417,Nexus,NXS,789
1568,SmileyCoin,SMLY,799
1960,Kobocoin,KOBO,815
1350,Bean Cash,BITB,819
1550,GeoCoin,GEO,823
6,Tether,USDT,825
2487,Wild Beast Block,WBB,831
1241,Gridcoin,GRC,833
2361,X-Coin,XCO,837
